roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_predicted_positive
0.6934152967721141,0.17310965484274574,0.8441959120709602,0.19398907103825136,0.39444444444444443,0.2600732600732601,0.6,71,2118,295,109,366
0.6934152967721141,0.17310965484274574,0.8580794446586965,0.2116564417177914,0.38333333333333336,0.2727272727272727,0.61,69,2156,257,111,326
0.6934152967721141,0.17310965484274574,0.8596220593906672,0.21428571428571427,0.38333333333333336,0.2749003984063745,0.62,69,2160,253,111,322
0.6934152967721141,0.17310965484274574,0.8592364057076745,0.21003134796238246,0.37222222222222223,0.2685370741482966,0.63,67,2161,252,113,319
0.6934152967721141,0.17310965484274574,0.8603933667566526,0.2064516129032258,0.35555555555555557,0.2612244897959184,0.64,64,2167,246,116,310
0.6934152967721141,0.17310965484274574,0.8600077130736599,0.20388349514563106,0.35,0.25766871165644173,0.65,63,2167,246,117,309
0.6934152967721141,0.17310965484274574,0.8677207867335133,0.21201413427561838,0.3333333333333333,0.2591792656587473,0.66,60,2190,223,120,283
0.6934152967721141,0.17310965484274574,0.8796760509062862,0.225,0.3,0.2571428571428571,0.67,54,2227,186,126,240
0.6934152967721141,0.17310965484274574,0.8812186656382568,0.2264957264957265,0.29444444444444445,0.2560386473429952,0.68,53,2232,181,127,234
0.6934152967721141,0.17310965484274574,0.8819899730042422,0.2236842105263158,0.2833333333333333,0.25,0.69,51,2236,177,129,228
0.6934152967721141,0.17310965484274574,0.8827612803702275,0.22072072072072071,0.2722222222222222,0.24378109452736318,0.7,49,2240,173,131,222
0.6934152967721141,0.17310965484274574,0.8873891245661396,0.22815533980582525,0.2611111111111111,0.24352331606217617,0.71,47,2254,159,133,206
0.6934152967721141,0.17310965484274574,0.8877747782491323,0.22388059701492538,0.25,0.23622047244094488,0.72,45,2257,156,135,201
0.6934152967721141,0.17310965484274574,0.8889317392981103,0.21578947368421053,0.22777777777777777,0.22162162162162163,0.73,41,2264,149,139,190
0.6934152967721141,0.17310965484274574,0.9035865792518318,0.2602739726027397,0.2111111111111111,0.2331288343558282,0.74,38,2305,108,142,146
0.6934152967721141,0.17310965484274574,0.9047435403008098,0.2624113475177305,0.20555555555555555,0.23052959501557632,0.75,37,2309,104,143,141
0.6934152967721141,0.17310965484274574,0.9055148476667952,0.25925925925925924,0.19444444444444445,0.2222222222222222,0.76,35,2313,100,145,135
0.6934152967721141,0.17310965484274574,0.9074431160817585,0.2692307692307692,0.19444444444444445,0.22580645161290322,0.77,35,2318,95,145,130
0.6934152967721141,0.17310965484274574,0.9078287697647512,0.264,0.18333333333333332,0.21639344262295082,0.78,33,2321,92,147,125
0.6934152967721141,0.17310965484274574,0.908214423447744,0.25833333333333336,0.17222222222222222,0.20666666666666667,0.79,31,2324,89,149,120
0.6934152967721141,0.17310965484274574,0.908214423447744,0.24561403508771928,0.15555555555555556,0.19047619047619047,0.8,28,2327,86,152,114
0.6934152967721141,0.17310965484274574,0.909371384496722,0.24770642201834864,0.15,0.18685121107266436,0.81,27,2331,82,153,109
0.6934152967721141,0.17310965484274574,0.909371384496722,0.23300970873786409,0.13333333333333333,0.1696113074204947,0.82,24,2334,79,156,103
0.6934152967721141,0.17310965484274574,0.9112996529116854,0.24489795918367346,0.13333333333333333,0.17266187050359713,0.83,24,2339,74,156,98
0.6934152967721141,0.17310965484274574,0.9120709602776707,0.23333333333333334,0.11666666666666667,0.15555555555555556,0.84,21,2344,69,159,90
0.6934152967721141,0.17310965484274574,0.912842267643656,0.23255813953488372,0.1111111111111111,0.15037593984962405,0.85,20,2347,66,160,86
0.6934152967721141,0.17310965484274574,0.912842267643656,0.2261904761904762,0.10555555555555556,0.14393939393939395,0.86,19,2348,65,161,84
0.6934152967721141,0.17310965484274574,0.9120709602776707,0.2,0.08888888888888889,0.12307692307692308,0.87,16,2349,64,164,80
0.6934152967721141,0.17310965484274574,0.9124566139606634,0.1780821917808219,0.07222222222222222,0.10276679841897234,0.88,13,2353,60,167,73
0.6934152967721141,0.17310965484274574,0.9151561897416121,0.19696969696969696,0.07222222222222222,0.10569105691056911,0.89,13,2360,53,167,66
0.6934152967721141,0.17310965484274574,0.9236405707674509,0.2857142857142857,0.06666666666666667,0.10810810810810811,0.9,12,2383,30,168,42
0.6934152967721141,0.17310965484274574,0.9251831854994215,0.3157894736842105,0.06666666666666667,0.11009174311926606,0.91,12,2387,26,168,38
0.6934152967721141,0.17310965484274574,0.9263401465483996,0.34285714285714286,0.06666666666666667,0.11162790697674418,0.92,12,2390,23,168,35
0.6934152967721141,0.17310965484274574,0.9271114539143849,0.3448275862068966,0.05555555555555555,0.09569377990430622,0.93,10,2394,19,170,29
0.6934152967721141,0.17310965484274574,0.9278827612803703,0.3333333333333333,0.03888888888888889,0.06965174129353234,0.94,7,2399,14,173,21
0.6934152967721141,0.17310965484274574,0.9286540686463556,0.3076923076923077,0.022222222222222223,0.04145077720207254,0.95,4,2404,9,176,13
0.6934152967721141,0.17310965484274574,0.9286540686463556,0.2222222222222222,0.011111111111111112,0.021164021164021163,0.96,2,2406,7,178,9
0.6934152967721141,0.17310965484274574,0.9298110296953336,0.25,0.005555555555555556,0.010869565217391304,0.97,1,2410,3,179,4
0.6934152967721141,0.17310965484274574,0.930582337061319,0.0,0.0,0.0,0.98,0,2413,0,180,0
0.6934152967721141,0.17310965484274574,0.930582337061319,0.0,0.0,0.0,0.99,0,2413,0,180,0
