roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_predicted_positive
0.812203573237556,0.22249459320817488,0.870420362514462,0.2891891891891892,0.5944444444444444,0.3890909090909091,0.22,107,2150,263,73,370
0.812203573237556,0.22249459320817488,0.8711916698804474,0.28846153846153844,0.5833333333333334,0.3860294117647059,0.23,105,2154,259,75,364
0.812203573237556,0.22249459320817488,0.8727342846124181,0.288135593220339,0.5666666666666667,0.38202247191011235,0.24,102,2161,252,78,354
0.812203573237556,0.22249459320817488,0.8738912456613961,0.2881844380403458,0.5555555555555556,0.3795066413662239,0.25,100,2166,247,80,347
0.812203573237556,0.22249459320817488,0.8762051677593521,0.2920353982300885,0.55,0.3815028901734104,0.26,99,2173,240,81,339
0.812203573237556,0.22249459320817488,0.8773621288083301,0.2896341463414634,0.5277777777777778,0.37401574803149606,0.27,95,2180,233,85,328
0.812203573237556,0.22249459320817488,0.8777477824913228,0.290519877675841,0.5277777777777778,0.3747534516765286,0.28,95,2181,232,85,327
0.812203573237556,0.22249459320817488,0.8785190898573081,0.2870662460567823,0.5055555555555555,0.36619718309859156,0.29,91,2187,226,89,317
0.812203573237556,0.22249459320817488,0.8785190898573081,0.28434504792332266,0.49444444444444446,0.36105476673427994,0.3,89,2189,224,91,313
0.812203573237556,0.22249459320817488,0.8781334361743155,0.2792207792207792,0.4777777777777778,0.3524590163934426,0.31,86,2191,222,94,308
0.812203573237556,0.22249459320817488,0.8800617045892788,0.2809364548494983,0.4666666666666667,0.35073068893528186,0.32,84,2198,215,96,299
0.812203573237556,0.22249459320817488,0.8796760509062862,0.2755102040816326,0.45,0.34177215189873417,0.33,81,2200,213,99,294
0.812203573237556,0.22249459320817488,0.8812186656382568,0.2777777777777778,0.4444444444444444,0.3418803418803419,0.34,80,2205,208,100,288
0.812203573237556,0.22249459320817488,0.8835325877362129,0.28214285714285714,0.4388888888888889,0.34347826086956523,0.35,79,2212,201,101,280
0.812203573237556,0.22249459320817488,0.8854608561511762,0.2857142857142857,0.43333333333333335,0.3443708609271523,0.36,78,2218,195,102,273
0.812203573237556,0.22249459320817488,0.8873891245661396,0.291044776119403,0.43333333333333335,0.3482142857142857,0.37,78,2223,190,102,268
0.812203573237556,0.22249459320817488,0.8885460856151176,0.29277566539923955,0.42777777777777776,0.3476297968397291,0.38,77,2227,186,103,263
